T,motor,stretch
1737098,sition: 92 ,13.69
1737160,sition: 88 ,13.44
1737210,sition: 88 ,13.44
1737260,sition: 88 ,13.69
1737321,sition: 88 ,14.44
1737371,sition: 84 ,15.43
1737421,sition: 84 ,15.43
1737484,sition: 84 ,15.68
1737534,sition: 84 ,15.69
1737584,sition: 80 ,15.69
1737646,sition: 80 ,15.68
1737696,sition: 80 ,15.44
1737746,sition: 80 ,15.44
1737808,sition: 80 ,15.69
1737858,sition: 76 ,15.69
1737908,sition: 76 ,15.69
1737970,sition: 76 ,13.69
1738020,sition: 72 ,12.69
1738070,sition: 72 ,12.19
1738131,sition: 72 ,11.69
1738182,sition: 72 ,11.94
1738232,sition: 72 ,12.69
1738291,sition: 68 ,13.69
1738341,sition: 68 ,13.69
1738391,sition: 68 ,13.69
1738448,sition: 64 ,13.69
1738498,sition: 64 ,13.69
1738549,sition: 64 ,13.69
1738606,sition: 64 ,13.69
1738656,sition: 64 ,13.69
1738706,sition: 60 ,13.69
1738764,sition: 60 ,13.69
1738814,sition: 60 ,13.69
1738864,sition: 60 ,13.69
1738923,sition: 56 ,10.45
1738973,sition: 56 ,9.70
1739023,sition: 56 ,9.95
1739083,sition: 56 ,10.20
1739133,sition: 56 ,10.70
1739183,sition: 52 ,10.70
1739245,sition: 52 ,10.70
1739296,sition: 52 ,10.70
1739346,sition: 52 ,10.70
1739408,sition: 48 ,10.70
1739458,sition: 48 ,14.98
1739508,sition: 48 ,14.98
1739569,sition: 48 ,14.98
1739619,sition: 48 ,14.98
1739669,sition: 44 ,14.98
1739730,sition: 44 ,15.27
1739780,sition: 44 ,15.27
1739830,sition: 44 ,8.70
1739888,sition: 40 ,7.95
1739938,sition: 40 ,7.71
1739988,sition: 40 ,8.21
1740047,sition: 40 ,8.46
1740097,sition: 36 ,8.46
1740147,sition: 36 ,8.46
1740204,sition: 36 ,8.46
1740254,sition: 36 ,8.46
1740304,sition: 36 ,8.46
1740360,sition: 32 ,8.46
1740410,sition: 32 ,8.46
1740460,sition: 32 ,8.46
1740516,sition: 32 ,8.46
1740566,sition: 28 ,8.46
1740635,sition: 28 ,8.46
1740685,sition: 28 ,8.46
1740752,sition: 28 ,8.46
1740802,sition: 24 ,6.46
1740852,sition: 24 ,5.46
1740910,sition: 24 ,5.21
1740960,sition: 24 ,5.46
1741010,sition: 24 ,5.96
1741068,sition: 20 ,5.96
1741119,sition: 20 ,5.96
1741169,sition: 20 ,5.96
1741225,sition: 20 ,5.96
1741275,sition: 16 ,5.96
1741325,sition: 16 ,5.96
1741382,sition: 16 ,4.97
1741432,sition: 12 ,4.72
1741482,sition: 12 ,3.72
1741540,sition: 12 ,2.72
1741590,sition: 12 ,2.22
1741640,sition: 8 ,2.23
1741697,sition: 8 ,1.99
1741747,sition: 8 ,1.99
1741797,sition: 8 ,1.99
1741853,sition: 4 ,1.99
1741903,sition: 4 ,1.99
1741953,sition: 4 ,1.99
1742011,sition: 4 ,1.99
1742061,sition: 4 ,1.99
1742111,sition: 4 ,1.99
1742168,sition: 4 ,1.99
1742218,sition: 4 ,1.99
1742268,sition: 4 ,1.99
1742324,sition: 0 ,1.00
1742374,sition: 0 ,-1.00
1742424,sition: 0 ,-2.75
1742485,sition: 0 ,-3.00
1742535,sition: 0 ,-2.25
1742585,sition: 0 ,-1.25
1742646,sition: 0 ,0.25
1742696,sition: 0 ,0.75
1742764,sition: 0 ,1.00
1742814,sition: 0 ,1.00
1742879,sition: 0 ,1.00
1742929,sition: 0 ,1.00
1742998,sition: 0 ,1.00
1743048,sition: 0 ,1.00
1743114,sition: 0 ,1.00
1743164,sition: 0 ,1.00
1743233,sition: 0 ,1.25
1743283,sition: 0 ,0.75
1743349,sition: 0 ,-1.50
1743399,sition: 0 ,-3.00
1743449,sition: 0 ,-3.25
1743510,sition: 0 ,-2.25
1743560,sition: 0 ,-1.50
1743610,sition: 0 ,-1.00
1743666,sition: 0 ,0.50
1743716,sition: 0 ,0.75
1743766,sition: 0 ,0.75
1743823,sition: 0 ,0.75
1743873,sition: 0 ,1.00
1743942,sition: 0 ,1.00
1743992,sition: 0 ,0.75
