T,motor,stretch
2912294,sition: 100 ,14.11
2912356,sition: 100 ,14.11
2912406,sition: 100 ,14.11
2912456,sition: 100 ,14.11
2912518,sition: 100 ,14.11
2912568,sition: 100 ,14.60
2912618,sition: 100 ,14.60
2912680,sition: 100 ,14.60
2912730,sition: 100 ,14.60
2912780,sition: 100 ,14.60
2912843,sition: 100 ,14.35
2912893,sition: 100 ,14.60
2912943,sition: 100 ,14.60
2913005,sition: 100 ,14.60
2913056,sition: 100 ,14.35
2913106,sition: 100 ,14.11
2913168,sition: 100 ,14.60
2913218,sition: 100 ,14.60
2913269,sition: 100 ,14.60
2913331,sition: 100 ,14.60
2913381,sition: 100 ,14.60
2913431,sition: 100 ,14.60
2913493,sition: 100 ,14.60
2913543,sition: 100 ,14.60
2913593,sition: 100 ,14.60
2913655,sition: 100 ,14.60
2913705,sition: 99 ,14.11
2913755,sition: 99 ,14.11
2913817,sition: 98 ,14.35
2913867,sition: 97 ,14.35
2913917,sition: 97 ,14.35
2913981,sition: 96 ,14.35
2914031,sition: 95 ,14.35
2914101,sition: 94 ,14.35
2914151,sition: 94 ,14.11
2914201,sition: 93 ,14.35
2914262,sition: 92 ,13.86
2914312,sition: 92 ,13.61
2914362,sition: 91 ,13.61
2914424,sition: 90 ,13.61
2914474,sition: 90 ,13.61
2914524,sition: 89 ,13.61
2914586,sition: 88 ,13.61
2914636,sition: 88 ,13.61
2914686,sition: 87 ,13.36
2914747,sition: 86 ,13.36
2914797,sition: 86 ,13.61
2914847,sition: 85 ,13.61
2914908,sition: 84 ,12.62
2914958,sition: 84 ,12.87
2915027,sition: 83 ,12.87
2915077,sition: 82 ,12.87
2915127,sition: 82 ,12.62
2915188,sition: 81 ,12.62
2915238,sition: 80 ,12.87
2915288,sition: 80 ,12.62
2915350,sition: 79 ,12.62
2915400,sition: 78 ,12.62
2915450,sition: 78 ,12.87
2915512,sition: 77 ,12.87
2915562,sition: 76 ,12.87
2915612,sition: 76 ,12.87
2915673,sition: 75 ,12.87
2915723,sition: 74 ,12.62
2915773,sition: 74 ,12.62
2915835,sition: 73 ,12.62
2915885,sition: 72 ,12.87
2915935,sition: 72 ,12.62
2915996,sition: 71 ,12.62
2916046,sition: 70 ,12.62
2916096,sition: 70 ,12.62
2916157,sition: 69 ,12.62
2916207,sition: 68 ,12.62
2916275,sition: 67 ,12.62
2916325,sition: 67 ,12.62
2916375,sition: 66 ,12.87
2916437,sition: 65 ,12.62
2916487,sition: 65 ,12.62
2916537,sition: 64 ,12.62
2916597,sition: 63 ,9.65
2916647,sition: 63 ,9.40
2916697,sition: 62 ,9.40
2916755,sition: 61 ,9.65
2916805,sition: 61 ,9.40
2916873,sition: 60 ,9.40
2916923,sition: 59 ,9.40
2916989,sition: 58 ,9.40
2917039,sition: 58 ,9.40
2917089,sition: 57 ,9.40
2917146,sition: 56 ,9.40
2917196,sition: 56 ,8.16
2917246,sition: 55 ,7.92
2917304,sition: 54 ,8.16
2917354,sition: 54 ,8.16
2917404,sition: 53 ,8.16
2917460,sition: 52 ,7.92
2917510,sition: 52 ,7.92
2917578,sition: 51 ,7.92
2917628,sition: 50 ,7.92
2917696,sition: 49 ,7.92
2917746,sition: 49 ,6.68
2917813,sition: 48 ,6.68
2917863,sition: 47 ,6.43
2917913,sition: 47 ,6.43
2917969,sition: 46 ,6.43
2918019,sition: 45 ,6.43
2918086,sition: 44 ,6.43
2918136,sition: 44 ,6.43
2918186,sition: 43 ,6.43
2918244,sition: 42 ,6.43
2918294,sition: 42 ,5.19
2918344,sition: 41 ,4.20
2918401,sition: 40 ,4.70
2918451,sition: 40 ,5.44
2918519,sition: 39 ,5.19
2918569,sition: 38 ,5.19
2918635,sition: 37 ,5.19
2918685,sition: 37 ,5.44
2918735,sition: 36 ,5.19
2918796,sition: 35 ,-41.88
2918846,sition: 35 ,3.71
2918914,sition: 34 ,1.98
2918964,sition: 33 ,2.47
2919029,sition: 32 ,4.45
2919079,sition: 32 ,4.20
2919129,sition: 31 ,4.20
2919186,sition: 30 ,4.20
2919236,sition: 30 ,4.20
2919304,sition: 29 ,4.20
2919354,sition: 28 ,-41.99
2919422,sition: 27 ,1.23
2919472,sition: 27 ,0.74
2919537,sition: 26 ,0.99
2919587,sition: 25 ,2.47
2919655,sition: 24 ,4.21
2919705,sition: 24 ,4.21
2919769,sition: 23 ,3.96
2919819,sition: 22 ,3.96
2919885,sition: 21 ,3.71
2919935,sition: 21 ,3.21
2920002,sition: 20 ,-0.25
2920053,sition: 19 ,-0.50
2920118,sition: 18 ,1.73
2920168,sition: 18 ,2.22
2920234,sition: 17 ,3.22
2920284,sition: 16 ,3.21
2920349,sition: 15 ,3.46
2920399,sition: 15 ,3.22
2920449,sition: 14 ,3.46
2920505,sition: 13 ,1.98
2920555,sition: 13 ,0.49
2920605,sition: 12 ,-0.75
2920663,sition: 11 ,0.24
2920713,sition: 11 ,1.23
2920779,sition: 10 ,2.72
2920829,sition: 9 ,2.97
2920893,sition: 8 ,3.22
2920943,sition: 8 ,2.97
2921008,sition: 7 ,3.21
2921058,sition: 6 ,2.72
2921108,sition: 6 ,0.74
2921166,sition: 5 ,-1.00
2921216,sition: 0 ,-0.75
2921266,sition: 0 ,0.49
2921321,sition: 0 ,2.22
2921371,sition: 0 ,2.47
2921437,sition: 0 ,2.72
2921487,sition: 0 ,2.72
2921547,sition: 0 ,2.72
2921597,sition: 0 ,2.97
2921664,sition: 0 ,0.74
2921714,sition: 0 ,-0.50
2921780,sition: 0 ,-1.00
2921830,sition: 0 ,-0.25
2921898,sition: 0 ,1.98
2921948,sition: 0 ,2.47
2922012,sition: 0 ,2.72
2922062,sition: 0 ,2.72
2922125,sition: 0 ,2.97
2922175,sition: 0 ,2.97
2922244,sition: 0 ,0.99
2922294,sition: 0 ,-0.25
2922362,sition: 0 ,-1.24
2922412,sition: 0 ,-0.01
2922462,sition: 0 ,0.99
2922519,sition: 0 ,2.22
2922569,sition: 0 ,2.47
2922632,sition: 0 ,2.72
2922682,sition: 0 ,2.72
2922749,sition: 0 ,2.72
2922799,sition: 0 ,2.72
